question_id	question_rank	document_title	paragraph_index
1	0	Electric_motor	38
1	1	Hokkien	7
1	2	Near_East	57
1	3	Association_football	21
1	4	Cork_(city)	6
4	0	BeiDou_Navigation_Satellite_System	18
4	1	BeiDou_Navigation_Satellite_System	13
4	2	BeiDou_Navigation_Satellite_System	12
4	3	BeiDou_Navigation_Satellite_System	7
4	4	BeiDou_Navigation_Satellite_System	14
7	0	Beyoncé	16
7	1	Beyoncé	54
7	2	Idealism	14
7	3	Macintosh	23
7	4	Beyoncé	50
10	0	Roman_Republic	45
10	1	Roman_Republic	48
10	2	Roman_Republic	43
10	3	Roman_Republic	27
10	4	Roman_Republic	26
13	0	Mali	10
13	1	Southeast_Asia	9
13	2	Chihuahua_(state)	62
13	3	Alaska	9
13	4	New_Delhi	13
16	0	Oklahoma_City	11
16	1	Detroit	1
16	2	Atlantic_City,_New_Jersey	24
16	3	Richmond,_Virginia	32
16	4	Oklahoma	2
19	0	Xbox_360	25
19	1	Oklahoma_City	71
19	2	Xbox_360	14
19	3	Xbox_360	13
19	4	Xbox_360	5
22	0	Neptune	28
22	1	Asthma	14
22	2	Asthma	19
22	3	Asthma	4
22	4	Neptune	0
25	0	Slavs	34
25	1	Nigeria	29
25	2	Royal_Dutch_Shell	7
25	3	Everton_F.C.	12
25	4	Roman_Republic	76
28	0	New_Delhi	50
28	1	Mexico_City	1
28	2	New_Delhi	49
28	3	New_Delhi	20
28	4	Houston	31
31	0	Dutch_language	35
31	1	Dutch_language	27
31	2	Textual_criticism	23
31	3	Dutch_language	31
31	4	Dutch_language	5
34	0	New_York_City	147
34	1	New_York_City	55
34	2	New_York_City	0
34	3	New_York_City	140
34	4	New_York_City	30
37	0	Federal_Bureau_of_Investigation	26
37	1	Federal_Bureau_of_Investigation	17
37	2	Prime_minister	1
37	3	Federal_Bureau_of_Investigation	39
37	4	Federal_Bureau_of_Investigation	43
40	0	Chihuahua_(state)	5
40	1	Chihuahua_(state)	31
40	2	States_of_Germany	0
40	3	Houston	10
40	4	Raleigh,_North_Carolina	0
43	0	Heresy	27
43	1	Middle_Ages	6
43	2	Middle_Ages	4
43	3	Late_Middle_Ages	3
43	4	Middle_Ages	2
46	0	Richard_Feynman	1
46	1	United_States_Air_Force	5
46	2	Israel	73
46	3	Paris	50
46	4	Film_speed	2
49	0	Pub	51
49	1	USB	8
49	2	Buddhism	144
49	3	USB	51
49	4	Arnold_Schwarzenegger	75
52	0	BeiDou_Navigation_Satellite_System	12
52	1	BeiDou_Navigation_Satellite_System	7
52	2	BeiDou_Navigation_Satellite_System	1
52	3	BeiDou_Navigation_Satellite_System	18
52	4	BeiDou_Navigation_Satellite_System	2
55	0	Sony_Music_Entertainment	17
55	1	Universal_Studios	30
55	2	Sony_Music_Entertainment	24
