question_id	document_title	paragraph_index
1	Cork_(city)	6
4	BeiDou_Navigation_Satellite_System	14
7	Beyoncé	50
10	Roman_Republic	26
13	New_Delhi	13
16	Oklahoma	2
19	Xbox_360	5
22	Neptune	0
25	Roman_Republic	76
28	Houston	31
31	Dutch_language	5
34	New_York_City	30
37	Federal_Bureau_of_Investigation	43
40	Raleigh,_North_Carolina	0
43	Middle_Ages	2
46	Film_speed	2
49	Arnold_Schwarzenegger	75
52	BeiDou_Navigation_Satellite_System	2
55	Compact_disc	8
58	Sumer	18
61	Gramophone_record	27
64	Russian_Soviet_Federative_Socialist_Republic	25
67	Southampton	79
70	Classical_music	15
73	Macintosh	3
76	USB	3
79	Child_labour	10
82	Airport	3
85	Translation	0
88	Affirmative_action_in_the_United_States	25
91	Greece	48
94	Norfolk_Island	15
97	Gene	41
100	Mandolin	15
103	John_Kerry	0
106	East_Prussia	7
109	Classical_music	15
112	Elizabeth_II	0
115	United_States_Army	1
118	Hunting	10
121	Zinc	36
124	Middle_Ages	20
127	Genome	15
130	Catalan_language	72
133	Heian_period	14
136	Gramophone_record	84
139	Athanasius_of_Alexandria	10
142	Race_(human_categorization)	6
145	Buddhism	109
148	Energy	0
151	Tristan_da_Cunha	3
154	Samurai	31
157	History_of_India	40
160	Anti-aircraft_warfare	58
163	Hunting	13
166	New_York_City	107
169	Southampton	35
172	To_Kill_a_Mockingbird	35
175	Asphalt	31
178	New_Haven,_Connecticut	3
181	The_Bronx	48
184	Space_Race	4
187	Catalan_language	32
190	Law_of_the_United_States	0
193	Muammar_Gaddafi	35
196	Korean_War	44
199	San_Diego	5
202	Melbourne	42
205	Alexander_Graham_Bell	43
208	Paris	78
211	Professional_wrestling	48
214	Federal_Bureau_of_Investigation	27
217	University_of_Notre_Dame	35
220	Hydrogen	9
223	Dialect	38
226	British_Empire	39
229	Christian	10
232	Police	6
235	List_of_numbered_streets_in_Manhattan	27
238	History_of_India	2
241	USB	24
244	Federalism	33
247	Athanasius_of_Alexandria	32
250	Plymouth	78
253	Samurai	45
256	North_Carolina	45
259	Nigeria	5
262	Transistor	6
265	Dog	16
268	Jehovah%27s_Witnesses	12
271	Mexico_City	1
274	Space_Race	19
277	Serbo-Croatian	19
280	Botany	39
283	Detroit	39
286	East_India_Company	28
289	Steven_Spielberg	26
292	North_Carolina	54
295	Neoclassical_architecture	6
298	Cyprus	12
